,Suburb,Address,Type,Price,Method,Date,Distance,Postcode,Landsize,Lattitude,Longtitude,Regionname,Propertycount
0,Surrey Hills,1/10 Florence Rd,Unit,813000.0,Property sold,2016-01-28,11.2,3127,108.0,-37.8276,145.1023,Southern Metropolitan,5457
1,Surrey Hills,999A Riversdale Rd,House,1205000.0,Property sold,2016-01-28,11.2,3127,490.0,-37.8361,145.1006,Southern Metropolitan,5457
2,Bentleigh East,1/69 Purtell St,Townhouse,760000.0,Property passed in,2016-03-09,13.9,3165,287.0,-37.9261,145.0566,Southern Metropolitan,10969
3,Malvern East,375 Waverley Rd,House,1675000.0,Property passed in,2016-03-09,11.2,3145,727.0,-37.8779,145.0651,Southern Metropolitan,8801
4,Middle Park,277 Danks St,House,2600000.0,Vendor Bid,2016-03-09,4.1,3206,279.0,-37.8499,144.957,Southern Metropolitan,2019
5,Mont Albert,371 Elgar Rd,House,1320000.0,Property sold prior,2016-03-09,11.8,3127,613.0,-37.8238,145.1135,Eastern Metropolitan,2079
6,Mont Albert,17 Rowland St,House,2850000.0,Property sold,2016-03-09,11.8,3127,1388.0,-37.82,145.1118,Eastern Metropolitan,2079
7,Moonee Ponds,504/26 Shuter St,Unit,670000.0,Property sold,2016-03-09,6.9,3039,0.0,-37.7672,144.9209,Western Metropolitan,6232
8,Moorabbin,21 Fiddes St,House,1224000.0,Property sold,2016-03-09,14.6,3189,834.0,-37.9376,145.0474,Southern Metropolitan,2555
9,Malvern East,44 Thurso St,House,1300000.0,Property sold,2016-03-09,11.2,3145,644.0,-37.8747,145.0836,Southern Metropolitan,8801
10,Moorabbin,23 Fiddes St,House,1020000.0,Property sold,2016-03-09,14.6,3189,771.0,-37.9375,145.0474,Southern Metropolitan,2555
11,Moorabbin,19 Hamer St,House,1000000.0,Property sold,2016-03-09,14.6,3189,573.0,-37.9428,145.04399999999995,Southern Metropolitan,2555
12,Moorabbin,6/1015 Nepean Hwy,Unit,380500.0,Property sold,2016-03-09,14.6,3189,106.0,-37.9374,145.0388,Southern Metropolitan,2555
13,Newport,23a Farm St,House,1025000.0,Property sold prior,2016-03-09,8.4,3015,301.0,-37.842,144.8902,Western Metropolitan,5498
14,Newport,1/26 Thorpe St,House,826000.0,Property sold,2016-03-09,8.4,3015,281.0,-37.8457,144.8651,Western Metropolitan,5498
15,Niddrie,28 Coghlan St,Townhouse,830000.0,Property sold,2016-03-09,11.2,3042,303.0,-37.742,144.8885,Western Metropolitan,2291
16,Niddrie,3a Irving St,House,780000.0,Property passed in,2016-03-09,11.2,3042,274.0,-37.7353,144.8907,Western Metropolitan,2291
17,North Melbourne,10 Canning St,House,2920000.0,Property sold,2016-03-09,2.3,3051,310.0,-37.7958,144.944,Northern Metropolitan,6821
18,Malvern East,1/13 Goode St,House,1210000.0,Property sold,2016-03-09,11.2,3145,337.0,-37.8833,145.0697,Southern Metropolitan,8801
19,Malvern East,9 Chanak St,House,1490000.0,Property sold,2016-03-09,11.2,3145,322.0,-37.8726,145.0396,Southern Metropolitan,8801
20,Maidstone,32 Ringtail Cct,House,826000.0,Property sold,2016-03-09,9.2,3012,308.0,-37.7833,144.8817,Western Metropolitan,3873
21,Maidstone,27 Dunedin St,House,715000.0,Property sold,2016-03-09,9.2,3012,576.0,-37.7808,144.8678,Western Metropolitan,3873
22,Heidelberg West,3a Katoomba Ct,House,765000.0,Property sold,2016-03-09,9.4,3081,415.0,-37.7354,145.0381,Eastern Metropolitan,2674
23,Heidelberg West,23 Redwood St,House,691000.0,Property sold,2016-03-09,9.4,3081,624.0,-37.7456,145.0397,Eastern Metropolitan,2674
24,Hughesdale,18 Paget St,House,1550000.0,Property sold,2016-03-09,13.0,3166,732.0,-37.8931,145.0791,Southern Metropolitan,3145
25,Hughesdale,1/13 Swindon Rd,Unit,516000.0,Property sold,2016-03-09,13.0,3166,0.0,-37.8967,145.0858,Southern Metropolitan,3145
26,Ashwood,18 Teck St,House,995000.0,Property sold,2016-03-09,12.2,3147,583.0,-37.8693,145.1082,Southern Metropolitan,2894
27,Ivanhoe,9/88 Marshall St,Unit,480000.0,Vendor Bid,2016-03-09,7.9,3079,0.0,-37.77,145.0472,Eastern Metropolitan,5549
28,Keilor East,16 Border Dr,House,703000.0,Property sold,2016-03-09,12.8,3033,683.0,-37.7402,144.8591,Western Metropolitan,5629
29,Keilor East,121 Sterling Dr,House,650000.0,Property sold prior,2016-03-09,12.8,3033,538.0,-37.7441,144.8503,Western Metropolitan,5629
30,North Melbourne,90 Molesworth St,House,1635000.0,Property sold,2016-03-09,2.3,3051,517.0,-37.7967,144.9472,Northern Metropolitan,6821
31,Kensington,4 Coopers La,House,785000.0,Property sold,2016-03-09,4.2,3031,258.0,-37.7906,144.924,Northern Metropolitan,5263
32,Kensington,35 Henry St,House,1037000.0,Property sold,2016-03-09,4.2,3031,188.0,-37.7953,144.9275,Northern Metropolitan,5263
33,Kew,13 Annadale St,House,1635000.0,Property sold,2016-03-09,5.6,3101,396.0,-37.8102,145.0451,Southern Metropolitan,10331
34,Kew,51 Rowland St,House,4800000.0,Property sold,2016-03-09,5.6,3101,697.0,-37.812,145.0547,Southern Metropolitan,10331
35,Kew East,43 Oswin St,House,2490000.0,Property sold,2016-03-09,7.5,3102,712.0,-37.7936,145.0566,Southern Metropolitan,2671
